TANGGAL;ISSUE;TEKNISI;ACTION_PLAN;SPARE_PART;DURATION_MINUTES
10/09/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"JOKO
BENJHONSON
FIKRI";PERBAIKAN WIRING FEEDER;YA;7
09/02/2025;PRINTING BOTAK;"BUDI
MAULANA";CLEANING & ADJUSTMENT PREFEEDER;YA;51
15/05/2025;PRINTING BOTAK;"DEDI
INDARYONO";PERBAIKAN PNEUMATIC FRAME LOCK;YA;14
30/05/2025;IMPRESSION FEED ROLL F4 ABNORMAL;RIZKI;ADJUSTMENT PRINTING PRESSURE;YA;26
10/09/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
FIKRI
AGUS";GANTI BEARING IMPRESSION ROLL;YA;19
15/05/2025;IMPRESSION FEED ROLL F4 ABNORMAL;AGUS;GANTI BEARING IMPRESSION ROLL;TIDAK;29
16/09/2024;FEEDER ELEKTRIK;BENJHONSON;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;21
21/03/2025;GEAR BOX FEEDER PROBLEM;MAULANA;GANTI OIL GEAR BOX;TIDAK;7
25/05/2025;GEAR BOX FEEDER PROBLEM;"AGUS
FIKRI";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;44
02/01/2025;FEEDER ELEKTRIK;JOKO;GANTI BEARING IMPRESSION ROLL;TIDAK;13
16/02/2025;PRINTING BOTAK;"PEPEN
BENJHONSON";GANTI OIL GEAR BOX;YA;6
25/06/2025;FEEDER ELEKTRIK;"FIKRI
BENJHONSON
PEPEN";GANTI BEARING IMPRESSION ROLL;TIDAK;14
09/11/2024;PRINTING BOTAK;AGUS;PERBAIKAN WIRING FEEDER;YA;66
10/02/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BUDI
DEDI";PERBAIKAN PNEUMATIC FRAME LOCK;YA;39
10/02/2025;PHOTOCELL SENSOR ERROR;DEDI;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;15
31/03/2025;PRINTING BOTAK;RIZKI;GANTI OIL GEAR BOX;TIDAK;15
17/11/2024;PHOTOCELL SENSOR ERROR;MAULANA;CLEANING & ADJUSTMENT PREFEEDER;YA;15
14/09/2024;PHOTOCELL SENSOR ERROR;"SAMSUL
ACA";PERBAIKAN WIRING FEEDER;TIDAK;105
11/07/2025;PREFEEDER FLEXO 4 ABNORMAL;"BENJHONSON
FIKRI";GANTI OIL GEAR BOX;YA;27
03/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"FIKRI
RIZKI
PEPEN";PERBAIKAN WIRING FEEDER;TIDAK;28
29/04/2025;GEAR BOX FEEDER PROBLEM;"ALIF
PEPEN
JOKO";ADJUSTMENT PRINTING PRESSURE;TIDAK;46
10/11/2024;PREFEEDER FLEXO 4 ABNORMAL;BENJHONSON;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;24
27/09/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;JOKO;CLEANING & ADJUSTMENT PREFEEDER;YA;16
23/09/2025;PREFEEDER FLEXO 4 ABNORMAL;PEPEN;ADJUSTMENT PRINTING PRESSURE;TIDAK;17
09/05/2025;GEAR BOX FEEDER PROBLEM;RIZKI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;19
27/03/2025;PHOTOCELL SENSOR ERROR;SAMSUL;GANTI OIL GEAR BOX;TIDAK;19
04/09/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"SAMSUL
DEDI";PERBAIKAN WIRING FEEDER;TIDAK;36
02/06/2025;FEEDER ELEKTRIK;"DEDI
INDARYONO
BUDI";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;21
22/04/2025;PHOTOCELL SENSOR ERROR;BENJHONSON;PERBAIKAN WIRING FEEDER;TIDAK;36
22/03/2025;GEAR BOX FEEDER PROBLEM;BUDI;ADJUSTMENT PRINTING PRESSURE;TIDAK;19
27/09/2025;GEAR BOX FEEDER PROBLEM;BENJHONSON;GANTI BEARING IMPRESSION ROLL;TIDAK;21
23/03/2025;IMPRESSION FEED ROLL F4 ABNORMAL;RIZKI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;5
29/01/2025;FEEDER ELEKTRIK;DEDI;PERBAIKAN WIRING FEEDER;YA;42
26/04/2025;PHOTOCELL SENSOR ERROR;"RIZKI
MAULANA
BUDI";PERBAIKAN PNEUMATIC FRAME LOCK;YA;26
27/06/2025;GEAR BOX FEEDER PROBLEM;"PEPEN
JOKO";ADJUSTMENT PRINTING PRESSURE;TIDAK;44
19/04/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;RIZKI;PERBAIKAN WIRING FEEDER;YA;5
21/04/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ALIF;GANTI OIL GEAR BOX;YA;106
03/09/2025;GEAR BOX FEEDER PROBLEM;MAULANA;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;18
22/07/2025;IMPRESSION FEED ROLL F4 ABNORMAL;BUDI;GANTI OIL GEAR BOX;TIDAK;49
08/09/2025;PHOTOCELL SENSOR ERROR;"SAMSUL
PEPEN";ADJUSTMENT PRINTING PRESSURE;TIDAK;9
14/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ALIF;PERBAIKAN WIRING FEEDER;YA;33
23/11/2024;PHOTOCELL SENSOR ERROR;PEPEN;GANTI OIL GEAR BOX;YA;9
03/04/2025;IMPRESSION FEED ROLL F4 ABNORMAL;DEDI;ADJUSTMENT PRINTING PRESSURE;TIDAK;12
18/07/2025;PREFEEDER FLEXO 4 ABNORMAL;PEPEN;CLEANING & ADJUSTMENT PREFEEDER;YA;92
16/07/2025;PHOTOCELL SENSOR ERROR;INDARYONO;ADJUSTMENT PRINTING PRESSURE;TIDAK;17
14/05/2025;FEEDER ELEKTRIK;SAMSUL;ADJUSTMENT PRINTING PRESSURE;YA;24
21/12/2024;FEEDER ELEKTRIK;"RIZKI
FIKRI
JOKO";ADJUSTMENT PRINTING PRESSURE;YA;40
05/07/2025;FEEDER ELEKTRIK;BENJHONSON;PERBAIKAN WIRING FEEDER;TIDAK;30
15/07/2025;GEAR BOX FEEDER PROBLEM;"BENJHONSON
INDARYONO";CLEANING & ADJUSTMENT PREFEEDER;YA;23
29/09/2024;GEAR BOX FEEDER PROBLEM;INDARYONO;CLEANING & ADJUSTMENT PREFEEDER;YA;27
08/08/2025;FEEDER ELEKTRIK;"ACA
ALIF";PERBAIKAN PNEUMATIC FRAME LOCK;YA;137
26/10/2024;PRINTING BOTAK;PEPEN;GANTI OIL GEAR BOX;TIDAK;19
10/07/2025;GEAR BOX FEEDER PROBLEM;"DEDI
SAMSUL
FIKRI";PERBAIKAN WIRING FEEDER;YA;23
22/04/2025;GEAR BOX FEEDER PROBLEM;"ALIF
INDARYONO";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;46
13/02/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"MAULANA
JOKO";PERBAIKAN WIRING FEEDER;YA;48
28/01/2025;PRINTING BOTAK;MAULANA;GANTI OIL GEAR BOX;TIDAK;52
16/02/2025;FEEDER ELEKTRIK;"BUDI
BENJHONSON";GANTI OIL GEAR BOX;YA;33
11/07/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;SAMSUL;GANTI OIL GEAR BOX;TIDAK;8
15/10/2024;PRINTING BOTAK;"DEDI
SAMSUL
ACA";ADJUSTMENT PRINTING PRESSURE;TIDAK;74
10/02/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"SAMSUL
FIKRI";GANTI BEARING IMPRESSION ROLL;YA;8
12/07/2025;FEEDER ELEKTRIK;"BUDI
DEDI";GANTI OIL GEAR BOX;TIDAK;25
11/05/2025;PHOTOCELL SENSOR ERROR;SAMSUL;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;11
09/12/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;INDARYONO;ADJUSTMENT PRINTING PRESSURE;YA;19
13/09/2025;PHOTOCELL SENSOR ERROR;FIKRI;PERBAIKAN WIRING FEEDER;TIDAK;26
31/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ALIF;PERBAIKAN WIRING FEEDER;YA;26
06/09/2024;GEAR BOX FEEDER PROBLEM;DEDI;GANTI BEARING IMPRESSION ROLL;TIDAK;28
05/10/2024;IMPRESSION FEED ROLL F4 ABNORMAL;BUDI;PERBAIKAN WIRING FEEDER;TIDAK;73
28/09/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;AGUS;GANTI BEARING IMPRESSION ROLL;TIDAK;29
22/03/2025;GEAR BOX FEEDER PROBLEM;"SAMSUL
INDARYONO";CLEANING & ADJUSTMENT PREFEEDER;YA;16
17/02/2025;PHOTOCELL SENSOR ERROR;AGUS;ADJUSTMENT PRINTING PRESSURE;TIDAK;43
19/09/2024;GEAR BOX FEEDER PROBLEM;RIZKI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;52
02/06/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"FIKRI
JOKO";GANTI OIL GEAR BOX;YA;7
25/05/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"DEDI
AGUS";GANTI BEARING IMPRESSION ROLL;TIDAK;32
02/06/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;SAMSUL;GANTI OIL GEAR BOX;TIDAK;35
01/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ACA;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;16
12/03/2025;GEAR BOX FEEDER PROBLEM;"PEPEN
SAMSUL";PERBAIKAN WIRING FEEDER;TIDAK;60
05/12/2024;FEEDER ELEKTRIK;FIKRI;GANTI BEARING IMPRESSION ROLL;TIDAK;18
30/08/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;JOKO;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;22
31/12/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"ACA
BENJHONSON";PERBAIKAN WIRING FEEDER;TIDAK;17
29/11/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;FIKRI;PERBAIKAN PNEUMATIC FRAME LOCK;YA;20
18/10/2024;PRINTING BOTAK;"INDARYONO
RIZKI";PERBAIKAN WIRING FEEDER;YA;8
07/12/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"DEDI
BUDI";GANTI BEARING IMPRESSION ROLL;TIDAK;6
13/11/2024;PHOTOCELL SENSOR ERROR;BUDI;GANTI OIL GEAR BOX;YA;72
15/12/2024;GEAR BOX FEEDER PROBLEM;RIZKI;ADJUSTMENT PRINTING PRESSURE;TIDAK;10
30/10/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;INDARYONO;GANTI OIL GEAR BOX;TIDAK;9
15/10/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
MAULANA";PERBAIKAN WIRING FEEDER;TIDAK;5
12/09/2024;FEEDER ELEKTRIK;AGUS;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;12
12/12/2024;PREFEEDER FLEXO 4 ABNORMAL;ACA;PERBAIKAN WIRING FEEDER;TIDAK;7
14/04/2025;GEAR BOX FEEDER PROBLEM;ACA;CLEANING & ADJUSTMENT PREFEEDER;YA;74
19/01/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;SAMSUL;PERBAIKAN WIRING FEEDER;TIDAK;45
23/10/2024;PREFEEDER FLEXO 4 ABNORMAL;"ALIF
BUDI";GANTI BEARING IMPRESSION ROLL;TIDAK;12
12/11/2024;GEAR BOX FEEDER PROBLEM;SAMSUL;CLEANING & ADJUSTMENT PREFEEDER;YA;121
07/10/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
BUDI";ADJUSTMENT PRINTING PRESSURE;YA;44
06/11/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"AGUS
INDARYONO";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;15
28/09/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"JOKO
PEPEN";GANTI OIL GEAR BOX;TIDAK;5
01/07/2025;GEAR BOX FEEDER PROBLEM;"DEDI
RIZKI
SAMSUL";GANTI BEARING IMPRESSION ROLL;TIDAK;125
18/02/2025;PHOTOCELL SENSOR ERROR;DEDI;GANTI OIL GEAR BOX;TIDAK;7
11/10/2024;PHOTOCELL SENSOR ERROR;"SAMSUL
PEPEN";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;5
20/10/2024;PRINTING BOTAK;AGUS;GANTI OIL GEAR BOX;TIDAK;45
29/04/2025;PREFEEDER FLEXO 4 ABNORMAL;PEPEN;PERBAIKAN WIRING FEEDER;TIDAK;141
06/03/2025;PRINTING BOTAK;DEDI;GANTI OIL GEAR BOX;TIDAK;61
14/02/2025;PRINTING BOTAK;"INDARYONO
MAULANA";ADJUSTMENT PRINTING PRESSURE;YA;31
27/02/2025;PRINTING BOTAK;"PEPEN
ACA";GANTI BEARING IMPRESSION ROLL;TIDAK;32
22/06/2025;PREFEEDER FLEXO 4 ABNORMAL;"MAULANA
JOKO";GANTI OIL GEAR BOX;YA;40
14/02/2025;FEEDER ELEKTRIK;"MAULANA
ACA
BUDI";ADJUSTMENT PRINTING PRESSURE;TIDAK;37
30/06/2025;PRINTING BOTAK;SAMSUL;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;25
21/11/2024;PRINTING BOTAK;"MAULANA
ALIF";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;22
09/04/2025;PHOTOCELL SENSOR ERROR;"SAMSUL
ALIF";PERBAIKAN WIRING FEEDER;YA;19
28/11/2024;GEAR BOX FEEDER PROBLEM;"MAULANA
DEDI
SAMSUL";ADJUSTMENT PRINTING PRESSURE;YA;11
01/07/2025;FEEDER ELEKTRIK;"ALIF
BUDI";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;16
30/11/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"MAULANA
SAMSUL";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;5
30/09/2025;PHOTOCELL SENSOR ERROR;"ALIF
RIZKI";GANTI OIL GEAR BOX;YA;18
17/10/2024;PREFEEDER FLEXO 4 ABNORMAL;SAMSUL;GANTI OIL GEAR BOX;YA;9
23/09/2025;PREFEEDER FLEXO 4 ABNORMAL;"PEPEN
RIZKI
BUDI";GANTI BEARING IMPRESSION ROLL;TIDAK;8
13/07/2025;FEEDER ELEKTRIK;"BENJHONSON
FIKRI";GANTI OIL GEAR BOX;TIDAK;23
01/02/2025;FEEDER ELEKTRIK;"ACA
JOKO
ALIF";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;61
05/09/2024;FEEDER ELEKTRIK;"JOKO
PEPEN";GANTI BEARING IMPRESSION ROLL;YA;42
09/03/2025;FEEDER ELEKTRIK;INDARYONO;GANTI OIL GEAR BOX;TIDAK;6
03/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;INDARYONO;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;9
26/08/2025;FEEDER ELEKTRIK;"AGUS
ALIF";GANTI OIL GEAR BOX;TIDAK;42
27/03/2025;PRINTING BOTAK;"BUDI
BENJHONSON";GANTI OIL GEAR BOX;YA;9
02/05/2025;PREFEEDER FLEXO 4 ABNORMAL;BUDI;ADJUSTMENT PRINTING PRESSURE;TIDAK;17
02/04/2025;PREFEEDER FLEXO 4 ABNORMAL;AGUS;CLEANING & ADJUSTMENT PREFEEDER;YA;31
06/09/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"INDARYONO
PEPEN
RIZKI";GANTI OIL GEAR BOX;TIDAK;9
09/11/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;AGUS;ADJUSTMENT PRINTING PRESSURE;TIDAK;22
23/08/2025;FEEDER ELEKTRIK;"SAMSUL
PEPEN";ADJUSTMENT PRINTING PRESSURE;TIDAK;7
06/04/2025;FEEDER ELEKTRIK;"JOKO
ALIF";CLEANING & ADJUSTMENT PREFEEDER;YA;12
06/04/2025;FEEDER ELEKTRIK;SAMSUL;ADJUSTMENT PRINTING PRESSURE;YA;26
31/08/2025;FEEDER ELEKTRIK;JOKO;PERBAIKAN WIRING FEEDER;TIDAK;6
07/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;SAMSUL;ADJUSTMENT PRINTING PRESSURE;TIDAK;28
28/10/2024;FEEDER ELEKTRIK;"DEDI
MAULANA";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;20
20/09/2025;PHOTOCELL SENSOR ERROR;RIZKI;PERBAIKAN WIRING FEEDER;YA;31
26/05/2025;FEEDER ELEKTRIK;BENJHONSON;ADJUSTMENT PRINTING PRESSURE;YA;24
17/08/2025;GEAR BOX FEEDER PROBLEM;"FIKRI
SAMSUL";GANTI BEARING IMPRESSION ROLL;TIDAK;60
28/09/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"FIKRI
INDARYONO";ADJUSTMENT PRINTING PRESSURE;TIDAK;22
21/05/2025;PRINTING BOTAK;"DEDI
ALIF";ADJUSTMENT PRINTING PRESSURE;TIDAK;14
29/01/2025;IMPRESSION FEED ROLL F4 ABNORMAL;INDARYONO;GANTI OIL GEAR BOX;TIDAK;22
19/09/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"FIKRI
SAMSUL
ACA";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;31
24/06/2025;PREFEEDER FLEXO 4 ABNORMAL;"INDARYONO
AGUS";GANTI BEARING IMPRESSION ROLL;TIDAK;21
14/09/2024;IMPRESSION FEED ROLL F4 ABNORMAL;"MAULANA
PEPEN";PERBAIKAN WIRING FEEDER;YA;21
21/01/2025;IMPRESSION FEED ROLL F4 ABNORMAL;SAMSUL;GANTI BEARING IMPRESSION ROLL;TIDAK;11
10/01/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"MAULANA
SAMSUL
PEPEN";PERBAIKAN WIRING FEEDER;YA;12
04/08/2025;PRINTING BOTAK;FIKRI;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;7
25/08/2025;PREFEEDER FLEXO 4 ABNORMAL;"PEPEN
BUDI";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;81
14/10/2024;PREFEEDER FLEXO 4 ABNORMAL;"PEPEN
RIZKI";ADJUSTMENT PRINTING PRESSURE;TIDAK;7
31/12/2024;GEAR BOX FEEDER PROBLEM;"DEDI
AGUS";CLEANING & ADJUSTMENT PREFEEDER;YA;11
23/06/2025;GEAR BOX FEEDER PROBLEM;INDARYONO;GANTI OIL GEAR BOX;TIDAK;11
22/09/2025;PHOTOCELL SENSOR ERROR;INDARYONO;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;41
24/03/2025;PRINTING BOTAK;RIZKI;GANTI OIL GEAR BOX;TIDAK;16
29/12/2024;PRINTING BOTAK;"DEDI
JOKO
RIZKI";GANTI BEARING IMPRESSION ROLL;YA;54
30/05/2025;PHOTOCELL SENSOR ERROR;"INDARYONO
ACA";ADJUSTMENT PRINTING PRESSURE;TIDAK;12
14/08/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"AGUS
INDARYONO";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;25
24/07/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"SAMSUL
AGUS";GANTI BEARING IMPRESSION ROLL;TIDAK;10
17/01/2025;IMPRESSION FEED ROLL F4 ABNORMAL;ACA;GANTI OIL GEAR BOX;TIDAK;111
20/03/2025;PRINTING BOTAK;"DEDI
BENJHONSON
AGUS";PERBAIKAN WIRING FEEDER;YA;8
25/05/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"DEDI
PEPEN
ALIF";PERBAIKAN WIRING FEEDER;YA;26
11/08/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;INDARYONO;ADJUSTMENT PRINTING PRESSURE;YA;33
27/05/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"RIZKI
ALIF
BENJHONSON";GANTI OIL GEAR BOX;TIDAK;28
07/01/2025;PREFEEDER FLEXO 4 ABNORMAL;INDARYONO;PERBAIKAN WIRING FEEDER;YA;17
30/09/2024;FEEDER ELEKTRIK;"BENJHONSON
SAMSUL
AGUS";PERBAIKAN PNEUMATIC FRAME LOCK;YA;18
15/10/2024;PHOTOCELL SENSOR ERROR;"PEPEN
JOKO";GANTI OIL GEAR BOX;TIDAK;21
04/12/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"PEPEN
ACA
DEDI";ADJUSTMENT PRINTING PRESSURE;YA;18
25/07/2025;PRINTING BOTAK;FIKRI;ADJUSTMENT PRINTING PRESSURE;TIDAK;43
10/01/2025;PREFEEDER FLEXO 4 ABNORMAL;ACA;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;117
18/03/2025;IMPRESSION FEED ROLL F4 ABNORMAL;ACA;GANTI BEARING IMPRESSION ROLL;YA;13
14/04/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BENJHONSON
SAMSUL";ADJUSTMENT PRINTING PRESSURE;YA;7
28/07/2025;PRINTING BOTAK;PEPEN;PERBAIKAN WIRING FEEDER;TIDAK;19
21/12/2024;FEEDER ELEKTRIK;"MAULANA
RIZKI
ACA";PERBAIKAN PNEUMATIC FRAME LOCK;YA;158
08/10/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"DEDI
ACA";ADJUSTMENT PRINTING PRESSURE;YA;11
13/05/2025;PREFEEDER FLEXO 4 ABNORMAL;"AGUS
INDARYONO
DEDI";GANTI OIL GEAR BOX;TIDAK;74
15/01/2025;PREFEEDER FLEXO 4 ABNORMAL;"ALIF
JOKO
SAMSUL";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;77
29/08/2025;PHOTOCELL SENSOR ERROR;"RIZKI
JOKO";ADJUSTMENT PRINTING PRESSURE;YA;13
04/06/2025;PREFEEDER FLEXO 4 ABNORMAL;JOKO;GANTI OIL GEAR BOX;TIDAK;32
02/11/2024;FEEDER ELEKTRIK;"ALIF
FIKRI";GANTI OIL GEAR BOX;TIDAK;74
25/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"AGUS
MAULANA
ALIF";PERBAIKAN WIRING FEEDER;TIDAK;15
12/10/2024;PHOTOCELL SENSOR ERROR;"FIKRI
ACA";GANTI OIL GEAR BOX;YA;17
30/11/2024;FEEDER ELEKTRIK;JOKO;GANTI OIL GEAR BOX;YA;13
01/02/2025;GEAR BOX FEEDER PROBLEM;"MAULANA
AGUS";GANTI OIL GEAR BOX;TIDAK;9
08/05/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"RIZKI
DEDI
BENJHONSON";CLEANING & ADJUSTMENT PREFEEDER;YA;12
08/12/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAMSUL
BENJHONSON
RIZKI";ADJUSTMENT PRINTING PRESSURE;YA;8
04/06/2025;GEAR BOX FEEDER PROBLEM;RIZKI;PERBAIKAN WIRING FEEDER;TIDAK;21
09/09/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;INDARYONO;GANTI BEARING IMPRESSION ROLL;YA;11
27/03/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;FIKRI;GANTI OIL GEAR BOX;TIDAK;24
23/04/2025;GEAR BOX FEEDER PROBLEM;"PEPEN
DEDI";PERBAIKAN WIRING FEEDER;YA;6
07/10/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"PEPEN
RIZKI
AGUS";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;26
14/07/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;DEDI;GANTI OIL GEAR BOX;YA;39
08/09/2024;PREFEEDER FLEXO 4 ABNORMAL;"INDARYONO
ACA
MAULANA";ADJUSTMENT PRINTING PRESSURE;TIDAK;5
27/11/2024;PHOTOCELL SENSOR ERROR;"MAULANA
FIKRI";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;27
02/07/2025;PHOTOCELL SENSOR ERROR;"BENJHONSON
MAULANA";CLEANING & ADJUSTMENT PREFEEDER;TIDAK;53
20/02/2025;PHOTOCELL SENSOR ERROR;"AGUS
JOKO
ALIF";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;8
07/06/2025;PREFEEDER FLEXO 4 ABNORMAL;FIKRI;CLEANING & ADJUSTMENT PREFEEDER;YA;76
01/07/2025;PREFEEDER FLEXO 4 ABNORMAL;MAULANA;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;28
12/11/2024;PHOTOCELL SENSOR ERROR;"PEPEN
DEDI";GANTI BEARING IMPRESSION ROLL;TIDAK;11
24/11/2024;PRINTING BOTAK;SAMSUL;PERBAIKAN PNEUMATIC FRAME LOCK;YA;19
22/10/2024;PHOTOCELL SENSOR ERROR;"SAMSUL
JOKO
PEPEN";PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;31
12/10/2024;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PEPEN;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;21
24/01/2025;PRINTING BOTAK;"FIKRI
RIZKI
PEPEN";CLEANING & ADJUSTMENT PREFEEDER;YA;31
25/07/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"RIZKI
JOKO";CLEANING & ADJUSTMENT PREFEEDER;YA;10
10/07/2025;GEAR BOX FEEDER PROBLEM;SAMSUL;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;23
11/07/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"FIKRI
ACA
ALIF";ADJUSTMENT PRINTING PRESSURE;YA;6
13/06/2025;PREFEEDER FLEXO 4 ABNORMAL;MAULANA;PERBAIKAN WIRING FEEDER;YA;18
14/07/2025;IMPRESSION FEED ROLL F4 ABNORMAL;"BUDI
BENJHONSON";ADJUSTMENT PRINTING PRESSURE;YA;10
20/01/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;MAULANA;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;11
13/05/2025;PREFEEDER FLEXO 4 ABNORMAL;AGUS;PERBAIKAN PNEUMATIC FRAME LOCK;YA;54
28/07/2025;IMPRESSION FEED ROLL F4 ABNORMAL;BENJHONSON;ADJUSTMENT PRINTING PRESSURE;TIDAK;48
19/02/2025;FEEDER ELEKTRIK;"INDARYONO
MAULANA";GANTI OIL GEAR BOX;YA;33
03/06/2025;PREFEEDER FLEXO 4 ABNORMAL;FIKRI;PERBAIKAN PNEUMATIC FRAME LOCK;TIDAK;8
22/05/2025;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BENJHONSON;GANTI OIL GEAR BOX;TIDAK;16
01/07/2025;FEEDER ELEKTRIK;JOKO;CLEANING & ADJUSTMENT PREFEEDER;TIDAK;53
27/12/2024;PHOTOCELL SENSOR ERROR;ALIF;CLEANING & ADJUSTMENT PREFEEDER;YA;22
31/12/2024;GEAR BOX FEEDER PROBLEM;"BENJHONSON
JOKO";CLEANING & ADJUSTMENT PREFEEDER;YA;128
30/04/2025;FEEDER ELEKTRIK;"INDARYONO
JOKO";CLEANING & ADJUSTMENT PREFEEDER;YA;27
10/07/2025;PRINTING BOTAK;JOKO;GANTI BEARING IMPRESSION ROLL;YA;23
23/04/2025;GEAR BOX FEEDER PROBLEM;AGUS;GANTI BEARING IMPRESSION ROLL;TIDAK;16
13/12/2024;IMPRESSION FEED ROLL F4 ABNORMAL;INDARYONO;GANTI OIL GEAR BOX;TIDAK;22
