Date;ITEM UNIT;ISSUE;IMPACT;ACTION PLAN;EKSEKUTOR;PELAKSANA PERBAIKAN;REMARK;DURATION_MINUTES
14/06/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BENJHONSON;;DONE;23
11/02/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ECIN
NANDA A
ALIF";;DONE;145
24/01/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ALIF
MAULANA
ACA";;DONE;127
04/12/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BENJHONSON
ZAINAL
ACA";;DONE;93
26/02/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"RICKY
NANDA A";;DONE;125
29/05/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ACA
MAULANA
SAHRUL";;DONE;200
07/07/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAHRUL
MAULANA";;DONE;21
22/01/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"BOWO
BENJHONSON
ALIF";;DONE;154
26/10/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
ECIN";;DONE;34
06/06/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"RICKY
ALIF
ACA";;DONE;131
29/12/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ERWAN
MAULANA";;DONE;118
05/01/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"PEPEN
BENJHONSON
INDARYONO";;DONE;60
31/07/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
PEPEN
ECIN";;DONE;94
15/09/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"PEPEN
ZAINAL";;DONE;131
14/11/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ECIN;;DONE;169
05/09/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;RICKY;;DONE;134
10/11/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ACA
INDARYONO
ALIF";;DONE;62
09/01/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"BOWO
ERWAN";;DONE;203
14/11/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"NANDA A
INDARYONO";;DONE;91
15/02/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ERWAN
NANDA A";;DONE;63
22/09/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ACA;;DONE;125
06/12/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ERWAN
ACA";;DONE;96
27/08/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"BENJHONSON
MAULANA";;DONE;73
30/04/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;PEPEN;;DONE;135
03/07/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;INDARYONO;;DONE;66
15/04/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ECIN
INDARYONO
SAHRUL";;DONE;182
12/08/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;ALIF;;DONE;124
25/05/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"MAULANA
PEPEN";;DONE;122
15/10/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ZAINAL;;DONE;69
10/07/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
BOWO
ERWAN";;DONE;138
20/04/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
BENJHONSON";;DONE;125
22/02/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
BOWO";;DONE;95
13/09/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"MAULANA
ZAINAL
PEPEN";;DONE;73
12/12/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"INDARYONO
ZAINAL";;DONE;50
27/07/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BOWO;;DONE;51
23/05/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ECIN;;DONE;171
05/09/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BENJHONSON;;DONE;81
27/03/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ECIN
ALIF";;DONE;87
11/09/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"BOWO
SAHRUL
INDARYONO";;DONE;106
28/09/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;BOWO;;DONE;183
17/09/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;MAULANA;;DONE;124
05/10/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"SAHRUL
MAULANA";;DONE;122
14/12/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"PEPEN
NANDA A
ERWAN";;DONE;206
25/01/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"NANDA A
BENJHONSON";;DONE;169
07/08/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ACA;;DONE;123
12/09/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
ACA";;DONE;150
18/07/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"INDARYONO
SAHRUL";;DONE;112
23/02/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ALIF;;DONE;101
11/09/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;ALIF;;DONE;115
25/09/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"PEPEN
ECIN";;DONE;190
03/05/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"RICKY
ACA";;DONE;160
08/09/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ACA;;DONE;122
28/06/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;INDARYONO;;DONE;113
19/08/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ALIF;;DONE;118
04/01/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
ERWAN";;DONE;92
13/02/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
BENJHONSON";;DONE;148
24/07/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"SAHRUL
BENJHONSON
MAULANA";;DONE;96
12/03/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ACA;;DONE;193
03/03/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ALIF;;DONE;58
05/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAHRUL
ERWAN
RICKY";;DONE;117
12/03/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"BENJHONSON
ERWAN
INDARYONO";;DONE;147
09/02/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ERWAN
ECIN";;DONE;41
31/12/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PEPEN;;DONE;136
14/01/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"INDARYONO
BENJHONSON";;DONE;161
28/06/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;BOWO;;DONE;100
30/03/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"RICKY
ECIN";;DONE;121
07/06/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
NANDA A";;DONE;178
02/10/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"SAHRUL
RICKY
BOWO";;DONE;123
10/10/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
MAULANA
BENJHONSON";;DONE;123
23/12/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"SAHRUL
ALIF";;DONE;140
02/05/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;ECIN;;DONE;166
03/09/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ERWAN
BOWO";;DONE;145
28/10/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAHRUL
INDARYONO";;DONE;106
23/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PEPEN;;DONE;127
01/05/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"BENJHONSON
MAULANA";;DONE;128
28/04/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;BENJHONSON;;DONE;115
25/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"PEPEN
ALIF";;DONE;41
22/02/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"SAHRUL
RICKY
ZAINAL";;DONE;111
02/03/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;ALIF;;DONE;140
30/09/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ZAINAL
ECIN";;DONE;121
18/11/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ERWAN
ECIN
ALIF";;DONE;69
06/12/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
INDARYONO
PEPEN";;DONE;121
15/02/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ERWAN
MAULANA
SAHRUL";;DONE;101
31/10/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ACA
PEPEN
INDARYONO";;DONE;90
07/07/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ACA;;DONE;154
20/10/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;MAULANA;;DONE;176
20/03/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;SAHRUL;;DONE;89
01/11/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ZAINAL
RICKY
BENJHONSON";;DONE;69
03/06/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"MAULANA
BENJHONSON
PEPEN";;DONE;44
08/12/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"NANDA A
ZAINAL
RICKY";;DONE;20
18/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"NANDA A
MAULANA
ALIF";;DONE;109
23/11/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
ERWAN
ZAINAL";;DONE;161
29/07/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"INDARYONO
NANDA A";;DONE;37
04/01/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"SAHRUL
RICKY
BENJHONSON";;DONE;112
23/12/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"MAULANA
NANDA A
ZAINAL";;DONE;112
30/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;NANDA A;;DONE;185
21/06/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ECIN
BENJHONSON";;DONE;60
06/01/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAHRUL
ACA
BENJHONSON";;DONE;129
15/03/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;PEPEN;;DONE;101
01/02/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"NANDA A
SAHRUL";;DONE;48
01/08/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;NANDA A;;DONE;93
23/07/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"NANDA A
BOWO";;DONE;74
03/12/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;PEPEN;;DONE;94
13/09/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;NANDA A;;DONE;164
21/06/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
ERWAN
PEPEN";;DONE;164
10/11/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"ERWAN
NANDA A
ACA";;DONE;44
17/07/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;ACA;;DONE;108
29/05/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;ZAINAL;;DONE;77
25/09/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;SAHRUL;;DONE;90
06/04/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;MAULANA;;DONE;164
06/01/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
NANDA A
ACA";;DONE;155
14/04/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;"INDARYONO
ERWAN";;DONE;124
31/10/2024;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;BOWO;;DONE;178
24/10/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"ALIF
BOWO";;DONE;138
22/07/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;ECIN;;DONE;86
05/09/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAHRUL
INDARYONO";;DONE;79
26/04/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;BOWO;;DONE;71
27/11/2024;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"ECIN
NANDA A
BENJHONSON";;DONE;136
13/08/2025;FLEXO 104;PREFEEDER FLEXO 4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN PREFEEDER FLEXO 4 ABNORMAL;SAHRUL;;DONE;203
01/12/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"BENJHONSON
BOWO";;DONE;129
17/04/2025;FLEXO 104;PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;PRODUCTION LOSS QUALITY;PERBAIKAN PNEUMATIC FRAME LOCK FLEXO 104 PRINT 1;"SAHRUL
PEPEN
ACA";;DONE;56
11/12/2024;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;"BENJHONSON
ACA";;DONE;95
03/02/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;BOWO;;DONE;61
05/03/2025;FLEXO 104;IMPRESSION FEED ROLL F4 ABNORMAL;PRODUCTION LOSS QUALITY;PERBAIKAN IMPRESSION FEED ROLL F4 ABNORMAL;ACA;;DONE;36
